TC ID,Test Scenario,Test Case Description,Pre-condition,Test Steps,Test Data,Expected Result,Actual Result,Status (Pass/Fail),Tester,Note
TC_001,Đăng nhập,Kiểm tra đăng nhập thành công với thông tin hợp lệ,Người dùng đã có tài khoản,"1. Mở trang Login
2. Nhập email hợp lệ
3. Nhập mật khẩu hợp lệ
4. Nhấn Đăng nhập","Email: valid@email.com
Password: valid123","Hệ thống cho phép đăng nhập và chuyển sang trang nhận tin",,,,
TC_002,Đăng nhập,Kiểm tra bảo lỗi khi nhập sai mật khẩu,Người dùng đã có tài khoản,"1. Mở trang Login
2. Nhập email hợp lệ
3. Nhập mật khẩu không hợp lệ
4. Nhấn Đăng nhập","Email: valid@email.com
Password: invalid","Hiển thị thông báo ""Email hoặc mật khẩu không đúng""",,,,
TC_003,Đăng nhập,Kiểm tra bảo lỗi khi nhập email không tồn tại,Không có,"1. Mở trang Login
2. Nhập email không tồn tại
3. Nhập mật khẩu
4. Nhấn Đăng nhập","Email: notexist@email.com
Password: anypass123","Hiển thị thông báo ""Email hoặc mật khẩu không đúng""",,,,
TC_004,Đăng nhập,Kiểm tra bảo lỗi khi tài khoản chưa xác thực,Người dùng có tài khoản nhưng chưa verify email,"1. Mở trang Login
2. Nhập email hợp lệ
3. Nhập mật khẩu hợp lệ
4. Nhấn Đăng nhập","Email: unverified@email.com
Password: valid123","Hiển thị thông báo ""Tài khoản chưa được xác thực""",,,,
TC_005,Đăng ký,Kiểm tra đăng ký thành công với thông tin hợp lệ,Không có,"1. Mở trang Signup
2. Nhập họ tên hợp lệ
3. Nhập email hợp lệ
4. Nhập số điện thoại hợp lệ
5. Nhập mật khẩu hợp lệ
6. Nhập lại mật khẩu khớp
7. Nhấn Đăng ký","Họ tên: Nguyễn Văn A
Email: newuser@email.com
SĐT: 0912345678
Password: Pass123!
Confirm: Pass123!","Hiển thị thông báo ""Đã gửi email xác thực, vui lòng kiểm tra hộp thư""",,,,
TC_006,Đăng ký,Kiểm tra bảo lỗi khi email đã tồn tại,Email đã được đăng ký trước đó,"1. Mở trang Signup
2. Nhập họ tên
3. Nhập email đã tồn tại
4. Nhập các thông tin khác
5. Nhấn Đăng ký","Email: existing@email.com","Hiển thị thông báo ""Email đã được sử dụng""",,,,
TC_007,Đăng ký,Kiểm tra bảo lỗi khi mật khẩu không khớp,Không có,"1. Mở trang Signup
2. Nhập các thông tin
3. Nhập mật khẩu
4. Nhập lại mật khẩu không khớp
5. Nhấn Đăng ký","Password: Pass123!
Confirm: Pass456!","Hiển thị thông báo ""Mật khẩu xác nhận không khớp""",,,,
TC_008,Đăng ký,Kiểm tra validate email không đúng format,Không có,"1. Mở trang Signup
2. Nhập email sai format
3. Nhập các thông tin khác
4. Nhấn Đăng ký","Email: invalidemail","Hiển thị thông báo ""Email không hợp lệ""",,,,
TC_009,Đăng ký,Kiểm tra validate số điện thoại không đúng format,Không có,"1. Mở trang Signup
2. Nhập số điện thoại sai format
3. Nhập các thông tin khác
4. Nhấn Đăng ký","SĐT: 123","Hiển thị thông báo ""Số điện thoại không hợp lệ""",,,,
TC_010,Khóa học,Xem danh sách khóa học đang hoạt động,Hệ thống có khóa học,"1. Truy cập trang chủ
2. Xem danh sách khóa học","N/A","Hiển thị danh sách các khóa học đang active, nhóm theo danh mục",,,,
TC_011,Khóa học,Xem chi tiết khóa học,Hệ thống có khóa học,"1. Truy cập danh sách khóa học
2. Click vào một khóa học","Course ID: 1","Hiển thị đầy đủ thông tin khóa học: tên, mô tả, học phí, thời lượng, mục tiêu học tập, kỹ năng",,,,
TC_012,Khóa học,Tạo mới khóa học (Admin),Người dùng có quyền Admin,"1. Đăng nhập với tài khoản Admin
2. Vào trang quản lý khóa học
3. Click Tạo khóa học mới
4. Nhập đầy đủ thông tin
5. Nhấn Lưu","Tên: IELTS Foundation
Danh mục: 1
Học phí: 5000000
Thời lượng: 60 giờ
Trình độ: Beginner","Khóa học được tạo thành công, hiển thị trong danh sách",,,,
TC_013,Khóa học,Cập nhật thông tin khóa học (Admin),Khóa học đã tồn tại,"1. Đăng nhập với tài khoản Admin
2. Vào chi tiết khóa học
3. Click Chỉnh sửa
4. Thay đổi thông tin
5. Nhấn Lưu","Course ID: 1
Học phí mới: 4500000","Thông tin khóa học được cập nhật thành công",,,,
TC_014,Khóa học,Thay đổi trạng thái khóa học (Admin),Khóa học đã tồn tại,"1. Đăng nhập với tài khoản Admin
2. Vào danh sách khóa học
3. Click thay đổi trạng thái
4. Xác nhận","Course ID: 1","Trạng thái khóa học thay đổi (active <-> inactive)",,,,
TC_015,Khóa học,Thêm mục tiêu học tập cho khóa học,Khóa học đã tồn tại,"1. Vào chi tiết khóa học
2. Click Thêm mục tiêu
3. Nhập mô tả mục tiêu
4. Nhấn Lưu","Course ID: 1
Mục tiêu: Nắm vững ngữ pháp cơ bản","Mục tiêu được thêm thành công vào khóa học",,,,
TC_016,Lớp học,Xem danh sách lớp học,Hệ thống có lớp học,"1. Truy cập trang quản lý lớp học
2. Xem danh sách","N/A","Hiển thị danh sách lớp học với thông tin: tên, giảng viên, phòng, lịch học",,,,
TC_017,Lớp học,Xem chi tiết lớp học,Lớp học đã tồn tại,"1. Vào danh sách lớp học
2. Click vào một lớp học","Class ID: 1","Hiển thị thông tin chi tiết: tên lớp, khóa học, giảng viên, phòng, lịch học, danh sách học viên",,,,
